Position;Betrag EUR;Frequenz;Bemerkung
Bruttogrundgehalt;7650.00;monatlich;91800 EUR im Jahr
Jahresbonus 2025;16400.00;einmalig;ausgezahlt Maerz 2026
Geldwerter Vorteil Dienstwagen;4080.00;jaehrlich;in Lohnabrechnung ausgewiesen
Bruttojahreseinkommen 2025;112280.00;jaehrlich;Summe ueber 100000 EUR Grenze
Bereinigtes Nettoeinkommen;5950.00;monatlich;nach Steuern und Sozialabgaben ueberschlaegig
Abzug private Altersvorsorge;-320.00;monatlich;rund 5 Prozent Brutto Arbeitswert
Abzug Berufsunfaehigkeitsversicherung;-92.00;monatlich;
Bereinigtes Nettoeinkommen nach Vorsorge;5538.00;monatlich;Zwischensumme
Vorrangiger Kindesunterhalt zwei Kinder;-1180.00;monatlich;Tabelle 2026 Zahlbetraege
Verbleibend vor Selbstbehalt;4358.00;monatlich;
Familienselbstbehalt Eheleute;4800.00;monatlich;Arbeitswert zu verifizieren
Einzusetzendes Einkommen Variante hoher Selbstbehalt;0.00;monatlich;keine Leistungsfaehigkeit
Einzusetzendes Einkommen Variante niedriger Selbstbehalt;0.00;monatlich;Spanne bis niedriger dreistelliger Betrag offen
Obergrenze Regress ungedeckter Bedarf;2155.00;monatlich;begrenzt Inanspruchnahme
