person;position;anfangswert;wert_18_06_2026;beleglage
Elena;Depot MainInvest;28500;42600;Anfangsstichtag unvollstaendig
Elena;Studienkredit;-17200;0;Tilgungsplan vorhanden
Elena;Pkw Skoda Octavia;0;16500;DAT-Auszug fehlt
Elena;Tagesgeld;0;18200;Screenshot vorhanden
Martin;Sparkonto Volksbank;14800;unbekannt;Kopie 2012 vorhanden
Martin;Werkzeuge;9000;unbekannt;Eigenliste ohne Belege
Martin;Elterndarlehen;-25000;unbekannt;Zettel ohne Zahlungsnachweise
Martin;Depot TradePort;0;86300;Screenshot 31.05.2026
Martin;Lebensversicherung;0;54800;Standmitteilung 01.01.2026
Martin;Wiesengrundstueck Ober-Moerlen;0;unbekannt;Grundbuchauszug fehlt
Beide;Familienhaus Bad Nauheim;0;760000-820000;Maklerkurzbewertung
Beide;Hausdarlehen;0;-419800;Darlehenssalden 31.05.2026
